DATA,IATA_CODE,tavg,tmin,tmax,prcp,snow
2015-01-01,ABE,-2.8,-9.9,3.9,0.0,0.0
2015-01-02,ABE,0.5,-4.9,5.6,0.0,0.0
2015-01-03,ABE,-1.2,-6.6,2.8,16.0,0.0
2015-01-04,ABE,4.1,1.7,10.0,4.3,0.0
2015-01-05,ABE,0.0,-7.7,7.2,0.0,0.0
2015-01-06,ABE,-8.2,-13.2,-6.0,2.3,0.0
2015-01-07,ABE,-9.3,-13.2,-5.5,0.3,2.0
2015-01-08,ABE,-11.5,-16.6,-8.2,0.0,3.0
2015-01-09,ABE,-4.9,-9.3,-0.5,0.3,0.0
2015-01-10,ABE,-9.5,-12.1,-6.6,0.0,0.0
2015-01-11,ABE,-4.1,-11.6,3.3,0.3,0.0
2015-01-12,ABE,1.2,0.0,2.8,10.9,0.0
2015-01-13,ABE,-4.2,-10.5,1.7,0.0,0.0
2015-01-14,ABE,-6.6,-11.0,-2.1,0.0,0.0
2015-01-15,ABE,-2.1,-6.6,1.1,0.0,0.0
2015-01-16,ABE,-1.8,-8.2,4.4,0.0,0.0
2015-01-17,ABE,-5.6,-12.7,0.0,0.0,0.0
2015-01-18,ABE,-0.4,-5.5,3.3,10.4,0.0
2015-01-19,ABE,2.6,-2.7,5.6,0.0,0.0
2015-01-20,ABE,1.5,-3.2,5.0,0.0,0.0
2015-01-21,ABE,-3.1,-6.6,-0.5,2.3,0.0
2015-01-22,ABE,-0.4,-3.2,3.9,0.0,3.0
2015-01-23,ABE,-1.0,-7.1,2.8,0.5,0.0
2015-01-24,ABE,1.4,-0.5,3.3,16.8,20.0
2015-01-25,ABE,2.2,-1.6,4.4,0.0,15.0
2015-01-26,ABE,-5.7,-7.1,-1.6,3.3,13.0
2015-01-27,ABE,-4.0,-8.2,-1.0,0.0,15.0
2015-01-28,ABE,-5.3,-8.8,-0.5,0.0,13.0
2015-01-29,ABE,-6.1,-16.6,-0.5,1.3,13.0
2015-01-30,ABE,-1.9,-9.3,2.2,0.3,13.0
2015-01-31,ABE,-8.2,-11.6,-3.2,0.0,13.0
2015-02-01,ABE,-2.3,-12.1,1.7,2.8,13.0
2015-02-02,ABE,-2.5,-9.3,1.1,20.3,15.0
2015-02-03,ABE,-8.0,-12.7,-4.3,0.0,15.0
2015-02-04,ABE,-5.0,-13.2,1.1,0.0,15.0
2015-02-05,ABE,-4.8,-11.6,0.0,0.0,15.0
2015-02-06,ABE,-9.0,-16.0,-2.7,0.0,15.0
2015-02-07,ABE,-2.7,-13.2,4.4,0.0,15.0
2015-02-08,ABE,1.4,-0.5,3.9,0.0,13.0
2015-02-09,ABE,-1.7,-3.8,1.7,3.6,13.0
2015-02-10,ABE,-1.3,-5.5,2.2,0.0,13.0
2015-02-11,ABE,-3.7,-9.9,1.7,0.0,13.0
2015-02-12,ABE,-1.8,-11.6,3.3,0.5,10.0
2015-02-13,ABE,-11.5,-14.9,-7.1,0.0,10.0
2015-02-14,ABE,-9.0,-16.0,-3.2,3.3,10.0
2015-02-15,ABE,-12.4,-16.6,-7.7,0.0,13.0
2015-02-16,ABE,-13.1,-18.2,-8.2,0.0,13.0
